branch_code,branch_name,branch_address,fbank_code,fstate_code2
14187,Jalan Yong Shook Lin,"Grd. Floor, Wisma IJM,
Jalan Yong Shook Lin,
46200 Petaling Jaya
Selangor",101,SGOR
12026,Kajang ,"Ground & Mezzanine Floor
28-30, Jalan Tukang,
43000 Kajang
Selangor",101,SGOR
12062,Kapar,"Sub-lots 157 & 158, Jalan Besar,
Pekan Kapar,
42200 Kapar
Selangor",101,SGOR
14208,Kepong ,"8-10, Jalan 53,
Desa Jaya, Kepong,
52100 Kuala Lumpur
Selangor",101,SGOR
12110,Klang,"14-22, Jalan Kepayang,
Off Jalan Meru,
41050 Klang
Selangor",101,SGOR
12071,Kuala Kubu Bharu,"45 & 46, Jalan Dato\ Muda Jaffar,
44000 Kuala Kubu Bahru
Selangor",101,SGOR
12138,Kuala Selangor,"11 & 13, Jalan Raja Jalil,
45000 Kuala Selangor
Selangor",101,SGOR
14169,Petaling Jaya Main ,"50-52, Jalan Sultan (52/4), 
46200 Petaling Jaya, 
P.O. Box 270, 
Jalan Sultan, 
46730 Petaling Jaya
Selangor",101,SGOR
12295,PJ Old Town,"No 29, Jalan Othman 3/14,
46200 Petaling Jaya
Selangor",101,SGOR
12044,Port Klang,"60-64, Persiaran Raja Muda Musa,
42000 Port Klang
Selangor",101,SGOR
12017,Rawang,"17, Jalan Bandar Rawang 2
Bandar Baru Rawang
48000 Rawang
Selangor",101,SGOR
14178,SEA Park,"1, Jalan 21/11A, 
SEA Park, 
46300 Petaling Jaya,
P.O. Box 235, Jalan Sultan, 
46200 Petaling Jaya
Selangor",101,SGOR
12213,"Section 18, Shah Alam","44, 46 & 48, Jalan Pinang C,
18/C, Seksyen 18,
40200 Shah Alam
Selangor",101,SGOR
12277,"Section 20, Shah Alam","No. 19 & 21, Jalan Singa C,
20/C, Seksyen 20,
40000 Shah Alam
Selangor",101,SGOR
12129,Sekinchan,"82-83, Jalan Ria,
45400 Sekinchan
Selangor",101,SGOR
12101,Shah Alam Main ,"10, Persiaran Perbandaran, 
Section 14, 
40000 Shah Alam, 
P.O. Box 7109, 
40702 Shah Alam
Selangor",101,SGOR
12231,SS 2 / 63 ,"8 & 10, Jalan SS 2/63,
47300 Petaling Jaya,
Selangor",101,SGOR
12222,Subang Jaya ,"C8, C9 & C10, Jalan SS15/4D,
Subang Jaya,
47500 Petaling Jaya
Selangor",101,SGOR
12192,Sungai Besar,"30E & 32E, Jalan Mashuri,
45300 Sungai Besar
Selangor",101,SGOR
12204,Taman Melawati,"209-10, Jalan Negara 2,
Taman Melawati,
53100 Kuala Lumpur
Selangor",101,SGOR
12240,Taman Putra,"9 & 11, Jalan Bunga Tanjung 9C,
Taman Putra,
68000 Ampang
Selangor",101,SGOR
12147,Taman Sri Serdang,"Lots 231-3, Jalan 18/23,
Taman Sri Serdang,
43300 Seri Kembangan
Selangor",101,SGOR
12035,Tanjong Karang,"18-20, Jalan Besar,
45500 Tanjong Karang
Selangor",101,SGOR
12080,Subang Perdana,"No. 1, Jalan Dinar G U3/G
Taman Subang Perdana
Seksyen U3
40150 Shah Alam
Selangor",101,SGOR
12307,Wisma Consplant ,"G01, West Tower,
Ground Floor, Wisma Consplant
1, 2, Jln SS16/4
47500 Subang Jaya
Selangor",101,SGOR
14383,Pandan Indah,"L1-03 , L1-06, L2-03,
Level 1 & 2, Menara Maxisegar,
Jalan Pandan Indah 4/2,
Pandan Indah,
55100 Kuala Lumpur
Selangor",101,SGOR
